production_countries,id,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0,766507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,18785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20352,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,436969,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37165,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,102382,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,453395,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,772,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,447365,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,298618,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,559,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,10193,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,412117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,38365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,863,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,315162,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,558449,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,573435,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1035259,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2109,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,877817,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,184315,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,490132,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,572802,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1891,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,68726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,568124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,14161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,854,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,9072,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,273477,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7485,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1011985,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1233413,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,680,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1061474,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6615,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,361743,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1511057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1266127,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1022789,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1325734,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,569094,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,11557,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1208348,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,616,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,160647,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,845781,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,274857,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,581726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8363,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50646,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,259694,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2294,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,512200,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,57214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,111,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
